"","Year","Price"
"1",2019,9.22628334506767
"2",2018,9.34218509816415
"3",2017,9.42340363903394
"4",2016,9.28070288737969
"5",2015,9.15876002025145
"6",2014,8.88678170144462
"7",2013,8.9867629635989
"8",2012,8.92800034844723
"9",2011,9.07821774695474
"10",2010,9.31740759424012
"11",2009,9.00216742798546
"12",2008,8.58765350673479
"13",2007,8.54475161570367
"14",2006,8.36693536385733
"15",2005,8.45224589072661
"16",2004,8.46641836086404
"17",2003,8.440885518591
"18",2002,8.30307983099844
"19",2001,8.21670243406562
"20",2000,8.06027235772358
